trade_date,ticker,side,setup,impulse_type,signal_time_ist,entry_time_ist,entry_price,sl_price,target_price,exit_time_ist,exit_price,outcome,pnl_pct,pnl_pct_gross,adx_signal,rsi_signal,stochk_signal,avwap_dist_atr_signal,ema20_gap_atr_signal,atr_pct_signal,quality_score,position_size_rs,pnl_rs
2025-11-14,AGARIND,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-14 10:00:00+05:30,2025-11-14 10:15:00+05:30,811.6376399999999,817.7249223,801.89798832,2025-11-14 10:45:00+05:30,817.7249223,SL,-0.8810405202601183,-0.7500000000000104,35.346551284168434,31.014304290722748,9.42432683379759,0.5470315818889678,2.738191149792707,0.010285784676028588,0.48592879609309586,50000,-440.5202601300591
2025-11-14,BBL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-14 10:30:00+05:30,2025-11-14 10:45:00+05:30,2918.4162,2940.3043215000002,2883.3952056000003,2025-11-14 11:15:00+05:30,2940.3043215000002,SL,-0.8810405202601078,-0.7500000000000042,44.698835687182054,26.19372441969115,0.0,1.4574535226811127,2.5392367177573907,0.003335290950912755,0.7855369017769256,50000,-440.52026013005394
2025-11-14,ESCORTS,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-14 10:00:00+05:30,2025-11-14 10:15:00+05:30,3549.38998,3576.01040485,3506.79730024,2025-11-14 14:30:00+05:30,3543.4,EOD,0.03891529658905477,0.16876083027652636,25.74489527219581,21.977124182755418,6.5312259137561,1.1184365732864503,3.2009897958434723,0.004053298358967362,0.4418998294080659,50000,19.457648294527385
2025-11-17,BODALCHEM,SHORT,B_HUGE_RED_FAILED_BOUNCE,HUGE,2025-11-17 11:15:00+05:30,2025-11-17 13:00:00+05:30,57.080000000000005,57.508100000000006,56.39504,2025-11-17 14:00:00+05:30,56.880129999999994,BE,0.22054807361637413,0.3501576734408047,34.27366134528944,37.599999957888045,52.5,0.9269992673303844,1.2698187510275,0.004565077159728063,0.5398207295135339,50000,110.27403680818706
2025-11-17,GENESYS,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-17 10:45:00+05:30,2025-11-17 11:00:00+05:30,460.9078,464.36460850000003,455.3769064,2025-11-17 11:15:00+05:30,455.06109999999995,BE,1.1401032120342165,1.2685183457515918,29.801927206914783,15.548281505015652,6.850177985022576,1.5243676273593265,3.3157803342057943,0.009833024118738407,0.5737932428916039,50000,570.0516060171083
2025-11-17,GMMPFAUDLR,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-17 11:00:00+05:30,2025-11-17 11:15:00+05:30,1202.55944,1211.5786358,1188.12872672,2025-11-17 12:15:00+05:30,1198.7856,BE,0.18416047023505652,0.313817336131016,48.96333974587835,28.29373650022457,7.436007436007355,1.950948521178998,2.7039903481489223,0.00556478405315613,0.9358660873945,50000,92.08023511752826
2025-11-17,INDNIPPON,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-17 10:00:00+05:30,2025-11-17 10:15:00+05:30,902.76941,909.540180575,891.93617708,2025-11-17 10:45:00+05:30,900.6939999999998,BE,0.10012767889735474,0.22989370009780763,43.08882008169672,23.64818617362694,10.671237594314567,0.7733568486780089,2.6317508305262263,0.0191540303272147,0.6416697497441022,50000,50.06383944867737
2025-11-17,VIPIND,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-17 10:00:00+05:30,2025-11-17 10:15:00+05:30,388.9222,391.8391165,384.25513359999997,2025-11-17 14:30:00+05:30,387.3,EOD,0.2875788857166264,0.4171014151416309,25.848272731125366,15.415019761140087,7.89473684210532,1.3457930247596075,2.531750738385885,0.006068674256334937,0.48323787029981174,50000,143.7894428583132
2025-11-18,DBREALTY,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-18 10:00:00+05:30,2025-11-18 10:15:00+05:30,137.95,138.984625,136.29459999999997,2025-11-18 10:30:00+05:30,137.14018999999996,BE,0.4577300234024563,0.5870315331642098,41.13582779656808,14.213197967018274,1.7133655394523857,1.3860488099021606,5.443957321192872,0.006940993788819919,0.7195959586813994,50000,228.86501170122816
2025-11-18,HIRECT,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-18 10:00:00+05:30,2025-11-18 10:15:00+05:30,1522.7953799999998,1534.21634535,1504.5218354399997,2025-11-18 10:45:00+05:30,1518.8428999999999,BE,0.129826798413607,0.25955424162108526,26.234686018517998,20.554272516656567,6.871388400404197,1.1324519922221292,3.4102316107551918,0.004429715185719932,0.4516993889166426,50000,64.9133992068035
